2016-10-26 10:49:17.322846||meta||agents||4
2016-10-26 10:49:17.322874||meta||treatnames||control@|experimental
2016-10-26 10:49:17.323010||meta||block_id start||0
2016-10-26 10:49:17.323023||meta||assignment||1@|2@|0@|3
2016-10-26 10:49:24.666356||event||progress-marker||training-start||2||0
2016-10-26 10:49:25.634401||event||progress-marker||training-start||1||0
2016-10-26 10:49:25.731292||event||progress-marker||training-start||0||1
2016-10-26 10:49:26.043937||event||progress-marker||training-start||3||1
2016-10-26 10:49:34.827612||treatment||google search||ford||2||0
2016-10-26 10:49:35.015522||treatment||google search||ford||1||0
2016-10-26 10:49:43.900907||treatment||visit website||http://passwordjdm.com||0||1
2016-10-26 10:49:43.903894||treatment||visit website||http://passwordjdm.com||3||1
2016-10-26 10:49:47.677507||error||visiting||google searchresults||2||0
2016-10-26 10:49:47.761542||error||visiting||google searchresults||1||0
2016-10-26 10:49:58.624329||treatment||visit website||http://automall.com||0||1
2016-10-26 10:50:00.657870||treatment||visit website||http://automall.com||3||1
2016-10-26 10:50:19.192145||treatment||visit website||http://australianmusclecarsales.com.au||0||1
2016-10-26 10:50:27.590372||treatment||visit page||http://www.ford.com/?gclid=CJ7dke7b-M8CFYqEfgodmNUA8w&s_kwcid=AL!2519!3!90779943514!e!!g!!ford&ef_id=WBDCoAAAACORFG60:20161026145008:s||2||0
2016-10-26 10:50:27.663170||treatment||visit website||http://autosearcher.com||0||1
2016-10-26 10:50:29.747454||treatment||visit website||http://australianmusclecarsales.com.au||3||1
2016-10-26 10:50:34.521152||treatment||visit page||http://www.ford.com/?gclid=CMT9nu7b-M8CFYqEfgodmNUA8w&s_kwcid=AL!2519!3!90779943514!e!!g!!ford&ef_id=WBDCoAAABJM61QdF:20161026145008:s||1||0
2016-10-26 10:50:39.180260||treatment||visit website||http://autosearcher.com||3||1
2016-10-26 10:50:42.477295||treatment||visit website||http://prostreetonline.com||0||1
2016-10-26 10:50:46.074594||treatment||google search||ford||0||1
2016-10-26 10:50:49.655958||treatment||visit website||http://prostreetonline.com||3||1
2016-10-26 10:50:54.507170||treatment||google search||ford||3||1
2016-10-26 10:50:54.705432||treatment||visit page||http://www.ford.com/?gclid=CNrN94Dc-M8CFRBxfgodre0FoA&s_kwcid=AL!2519!3!90779943514!e!!g!!ford&ef_id=WBDCoAAAACORFG60:20161026145047:s||2||0
2016-10-26 10:50:57.772243||error||visiting||google searchresults||0||1
2016-10-26 10:51:02.898198||treatment||visit page||http://www.ford.com/?gclid=CJaH44Tc-M8CFQaRfgodWHUCdA&s_kwcid=AL!2519!3!90779943514!e!!g!!ford&ef_id=WBDCoAAABJM61QdF:20161026145056:s||1||0
2016-10-26 10:51:08.662980||error||visiting||google searchresults||3||1
2016-10-26 10:51:22.005516||treatment||visit page||http://www.ford.com/?gclid=CL6Lqo_c-M8CFUtNfgodwMIJVg&s_kwcid=AL!2519!3!90779943994!e!!g!!ford&ef_id=WBDC5gAAAYliMS0H:20161026145118:s||0||1
2016-10-26 10:51:24.750015||error||visiting||google searchresults||2||0
2016-10-26 10:51:33.044643||error||visiting||google searchresults||1||0
2016-10-26 10:51:33.697246||treatment||visit page||http://www.ford.com/?gclid=CO33xZTc-M8CFRB4fgodq4YNSQ&s_kwcid=AL!2519!3!90779943514!e!!g!!ford&ef_id=WBDC8QAABZ4X4p0U:20161026145129:s||3||1
2016-10-26 10:51:49.354321||treatment||visit page||http://www.showroom.ford.com/FDShowroom.jsp?gclid=CJWEnZzc-M8CFU9cfgodk8YENA&searchid=386018074||90779943514&s_kwcid=AL!2519!3!90779943514!e!!g!!ford&ef_id=WBDCoAAAACORFG60:20161026145145:s||2||0
2016-10-26 10:51:51.151337||treatment||visit page||http://www.ford.com/?gclid=CL3e6prc-M8CFUprfgodgbgDOw&s_kwcid=AL!2519!3!90779943994!e!!g!!ford&ef_id=WBDC5gAAAYliMS0H:20161026145142:s||0||1
2016-10-26 10:52:00.602428||treatment||visit page||http://www.showroom.ford.com/FDShowroom.jsp?gclid=CNT8jKDc-M8CFc6Xfgodj_cPEw&searchid=386018074||90779943514&s_kwcid=AL!2519!3!90779943514!e!!g!!ford&ef_id=WBDCoAAABJM61QdF:20161026145153:s||1||0
2016-10-26 10:52:01.378886||treatment||visit page||http://www.ford.com/?gclid=COy2wqDc-M8CFY9efgod6akEYQ&s_kwcid=AL!2519!3!90779943514!e!!g!!ford&ef_id=WBDC8QAABZ4X4p0U:20161026145154:s||3||1
2016-10-26 10:52:15.730448||treatment||visit page||http://www.showroom.ford.com/FDShowroom.jsp?gclid=CIWP8afc-M8CFUiPfgodP0gPHw&searchid=386018074||90779943514&s_kwcid=AL!2519!3!90779943514!e!!g!!ford&ef_id=WBDCoAAAACORFG60:20161026145209:s||2||0
